削除された単語一覧（frequency=0 = コーパスに未出現）
削除件数: 53,409 件
==================================================

-冊	-サツ
-方	-ホウ
-様	-サマ
-氏	-シ
-番目	-バンメ
-風	-カゼ
1/4マイル	1/4マイル
100万命令毎秒	100マンメイレイマイビヨウ
お百姓さん	オヒヤクシヨウサン
お皿	オサラ
お盆	オボン
お盛	オジヨウ
お盛ん	オサカン
お目	オメ
お目にかかる	オメニカカル
お目に掛かる	オメニカカル
お目もじ	オメモジ
お目出たさ	オメデタサ
お目文字	オメモジ
お目見え	オマミエ
お目見得	オメミエ
お相撲さん	オスモウサン
お知らせ	オシラセ
お礼	オレイ
お祖母	オソボ
お祖母さま	オソボサマ
お祖母さん	オソボサン
お祖母ちゃん	オソボチヤン
お祖母様	オソボサマ
お祖父	オソフ
お祖父さん	オソフサン
お祖父さん・お爺さん	オソフサン・オジイサン
お祖父ちゃん	オソフチヤン
お祖父様	オソフサマ
お祝い	オイワイ
お祭	オマツリ
お祭り	オマツリ
お祭り騒ぎ	オマツリサワギ
お祭り騒ぎをする	オマツリサワギヲスル
お積もり	オツモリ
お積り	オツモリ
お笑い芸人	オワライゲイニン
お節介	オセツカイ
お義姉さん	オギシサン
お義姉様	オギシサマ
お腰	オコシ
お腹	オハラ
